,v1,v2
1168,ham,ok bus come soon come otherwise tomorrow
1169,ham,msgs r time pass silently say thinking right also making think least moment gd nt swt drms shesil
1170,ham,yeah probably swing roommate finishes girl
1171,spam,got takes take part wrc rally oz lucozade energy text rally le p see packs lucozade co uk wrc itcould
1172,ham,happy new years melody
1173,ham,dun need pick ur gf
1174,ham,yay better told girls either
1175,ham,horrible eat macs eat forgot abt already rite take long reply thk toot b b prepared wat shall eat
1176,ham,say fantastic chance anything need bigger life lift losing live think would first person die n v q
1177,ham,nw came hme da
1178,ham,im outside islands head towards hard rock youll run
1179,ham,day class class
1180,ham,im chennai velachery
1181,ham,flippin shit yet
1182,ham,k give sec breaking lt gt cstore
1183,ham,much bad avoid like
1184,ham,yo around got car back
1185,ham,annoying isnt
1186,ham,goodmorning today late lt gt min
1187,ham,theres point hangin mr right hes makin happy
1188,ham,come alive better correct good looking figure
1189,ham,case guess ill see campus lodge
1190,ham,done
1191,ham,come home one last time wont anything trust
1192,ham,night worrying appt shame missed girls night quizzes popcorn hair
1193,spam,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabe co uk pics wk
1194,ham,ok c ya
1195,spam,new voicemail please call
1196,ham,said matter mind saying matter
1197,ham,also knows lunch menu da know
1198,ham,al moan n e thin goes wrong fault al de arguments r fault fed himso bother hav go thanx xx
1199,ham,neft transaction reference number lt gt rs lt decimal gt credited beneficiary account lt gt lt time gt lt gt
1200,ham,otherwise part time job na tuition
1201,ham,know called
1202,ham,also da feel yesterday night wait til day night dear
1203,ham,thanks understanding ive trying tell sura
1204,spam,win year supply cds store ur choice worth enter weekly draw txt music ts cs www ldew com subs win ppmx
1205,ham,whole car appreciated last two dad map reading semi argument apart things going ok p
1206,spam,sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr
1207,ham,need strong arms
1208,ham,also maaaan missing
1209,ham,bday real april
1210,ham,guessin aint gonna
1211,ham,ok come ur home half hour
1212,ham,yo game almost want go walmart soon
1213,ham,yeah probably sure ilol let know personally wuldnt bother ur goin mite well
1214,ham,ill text creepy like wont think forgot
1215,ham,would good ill phone tomo lunchtime shall organise something
1216,spam,new voicemail please call
1217,ham,damn make tonight want wait til tomorrow
1218,ham,k k im also fine complete course
1219,ham,true passable get high score apply phd get years salary makes life easier
1220,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends p tone reply hl info
1221,ham,prakesh know
1222,ham,teach apps da come college
1223,ham,rofl betta invest anti aging products
1224,spam,winner specially selected receive cash holiday flights inc speak live operator claim
1225,ham,sir receive account another hr time sorry delay
1226,spam,reply name address receive post weeks completely free accommodation various global locations www phb com ph p
1227,ham,submitting da project tmr rite
1228,spam,free entry weekly comp send word enter c www textcomp com cust care
1229,ham,jus ans lar ull noe later
1230,ham,want send something sell fast lt gt k easy money
1231,ham,got things may pub later
1232,ham,finish meeting call
1233,ham,lol ok ill snatch purse
1234,ham,hello drivby quit edrunk sorry iff pthis makes senrd dnot dancce drum n basq ihave fun nhite x ros xxxxxxx
1235,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
1236,ham,much getting
1237,ham,ur paper e morn aft tmr
1238,ham,dear relieved westonzoyland going plan end
1239,ham,hope great new semester wish best made greatness
1240,ham,oh yes speak txt hmm get email
1241,ham,want show world princess europe
1242,ham,nobody decide eat dad wants chinese
1243,ham,shoot im docs waiting room
1244,ham,im going dinner soon
1245,ham,hello site download songs urgent pls
1246,ham,know mean king havin credit im goin bed night night sweet sleep
1247,ham,horrible gal sch stuff come got mc
1248,ham,hi hun im comin nite tell every im sorry hope ava goodtime oli rang melnite ifink mite b sorted il explain everythin mon l rs x
1249,ham,call later dont network urgnt sms
1250,ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
1251,spam,please call immediately urgent message waiting
1252,ham,yeah like goes like friends imma flip shit like half hour
1253,ham,mum say wan go go shun bian watch da glass exhibition
1254,ham,plan pongal
1255,ham,wait till end march el nino gets oh
1256,ham,yet chikku going room nw im bus
1257,ham,also cbe pay
1258,ham,honey boo im missing
1259,ham,sent jd customer service cum accounts executive ur mail id details contact us
1260,ham,yo im parents gettin cash good news picked downstem
1261,ham,thank much skyped wit kz sura didnt get pleasure company hope good weve given ultimatum oh countin aburo enjoy
1262,spam,hungry gay guys feeling hungry call p min stop texts call p min
1263,ham,ok wahala remember friend need
1264,ham,see half hour
1265,ham,im inperialmusic listening weirdest track ever leafcutter john sounds like insects molested someone plumbing remixed evil men acid
1266,ham,hey sorry didntgive ya bellearlier hunny
1267,ham,seriously tell exact words right
1268,spam,get phone wanna chat set meet call cum moro luv jane xx calls minmoremobsemspobox po wa
1269,ham,tee hee lecture cheery bye bye
1270,ham,sorry chikku cell got problem thts nt able reply msg
1271,ham,still havent collected dough pls let know go place sent get control number
1272,ham,ok
1273,spam,network operator service free cs visit biz
1274,ham,let know contact ive settled room lets know ok
1275,ham,wot weirdo
1276,ham,lor
1277,ham,dont put phone silent mode ok
1278,ham,meet depends wan lor
1279,ham,waiting tv show start lor leh still busy ur report
1280,ham,oh ho first time use type words
1281,ham,one doesnt stalk profiles
1282,ham,ever green quote ever told jerry cartoon person irritates always one loves vry much fails express gud nyt
1283,ham,yes thought thanks
1284,ham,drinkin im ok
1285,ham,wondering others took
1286,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng
1287,ham,dog must always wait till end day word run time cell already
1288,ham,happy new year
1289,ham,hey great deal farm tour pm pax deposit may
1290,ham,eat jap done oso aft ur lect wat got lect rite
1291,ham,hey babe saw came online second disappeared happened
1292,ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes
1293,ham,happy birthday may ur dreams come true
1294,ham,aiyah ok already lar e nydc wheellock
1295,ham,tell said eat shit
1296,ham,sure driving reach destination soon
1297,ham,k much th fifty
1298,ham,daily text favour time
1299,ham,great hear settling well whats happenin wit ola
1300,ham,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one
1301,ham,tot reach liao said shirt
1302,ham,fran decided go n e way im completely broke knackered got bout c mrw love janx p dads fone credit
1303,ham,cant pick phone right pls send message
1304,ham,right ill make appointment right
1305,ham,designation software developer may get chennai
1306,spam,enjoy jamster videosound gold club credits new videosounds logos musicnews get fun jamster co uk help call
1307,spam,get lions england tone reply lionm mono lionp poly go www ringtones co uk original n best tones gbp network operator rates apply
1308,ham,jokin oni lar busy wun disturb
1309,ham,ok careful dont text drive
1310,ham,always even spirit get bb soon trying sure need
1311,ham,r much close heart go away shattered plz stay
1312,ham,love babe r sure everything alrite idiot txt bak girlie
1313,ham,abt making pics bigger
1314,ham,got got colours lor one colour quite light n e darker lor actually im done shes styling hair
1315,ham,whenevr ur sad whenevr ur gray remembr im listn watevr wanna say jus walk wid little amp promise ill bring back ur smile
1316,ham,nothing ok anyway give treat
1317,spam,win newest harry potter order phoenix book reply harry answer questions chance first among readers
1318,ham,ok
1319,ham,correct work today
1320,ham,sent scream moan bed princess
1321,ham,wake long ago already dunno thing
1322,ham,oh getting even
1323,ham,thk shd ok said plus minus leave line paragraphs
1324,ham,call plz number shows coveragd area urgnt call vasai amp reach clock call plz
1325,ham,yeah jays sort fucking retard
1326,ham,sorry bathroom sup
1327,spam,ur balance ur next question sang uptown girl answer txt ur answer good luck
1328,ham,exam february wish great day
1329,ham,dont know come ask questions like dont mistake
1330,ham,aight rush ill ask jay
1331,ham,good morning plz call sir
1332,ham,ok lar sleep early nite
1333,ham,oh icic k lor den meet day
1334,ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grins
1335,ham,sometimes put walls around hearts safe getting hurt find cares enough break walls amp get closer goodnoon
1336,ham,sweet may may go meet carlos gauge pattys interest
1337,ham,buying today need c meh
1338,ham,aight sorry take ten years shower whats plan
1339,ham,every monday nxt week vl completing
1340,ham,might ax well im
1341,ham,chill another hrs could sleep pain surgical emergency see unfolds okay
1342,ham,yeah ill try scrounge something
1343,ham,crazy ar hes married like gd looking guys frens like say hes korean leonas fave dun thk aft thinking mayb prob ill go
1344,ham,somewhere fredericksburg
1345,ham,que pases un buen tiempo something like
1346,ham,ok stay night xavier sleeping bag im getting tired
1347,ham,doesnt need test
1348,ham,nothing much chillin home super bowl plan
1349,spam,free day sexy st georges day pic jordan txt pic dont miss every wk saucy celeb pics c pocketbabe co uk wk
1350,ham,bugis oso near wat
1351,ham,yo theres class tmrw right
1352,ham,let ur heart ur compass ur mind ur map ur soul ur guide never loose world gnun sent via way sms com
1353,ham,goodnight sleep well da please take care pa please
1354,ham,baaaaabe misss youuuuu go teach class
1355,ham,convey regards
1356,ham,ned convince tht possible witot hurting feeling main
1357,ham,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy
1358,ham,start sending blackberry torch nigeria find buyer like month tell dad buy bb anyone oh
1359,ham,lt gt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt mins whn read
1360,ham,yo dude guess got arrested day
1361,ham,shuhui say change suntec steamboat noe r
1362,ham,dance river
1363,ham,yetunde im sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger
1364,ham,hey really pretty late want go lesson first join im reaching tp mrt
1365,spam,hot live fantasies call p per min ntt ltd po box croydon cr wb k
1366,ham,bbq sat mine ish ur welcome come
1367,ham,dont know thing thats wrong everyso often panicks starts goin bout bein good enough
1368,ham,alright im good night
1369,ham,try making another butt
1370,ham,hope feeling great pls fill abiola
1371,ham,though shd go n fun bar town something sound ok
1372,ham,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interesting
1373,spam,bears pic nick tom pete dick fact types try gay chat photo upload call p min stop texts call
1374,spam,new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg txtauction
1375,ham,finally ready fyi
1376,ham,auntie huai juan never pick phone
1377,spam,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers call optout lf
1378,ham,ya tel wats ur problem
1379,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends p tone reply hl info
1380,ham,dnt wnt tlk wid
1381,ham,spend days waiting ideal path appear front us forget paths made walking waiting goodnight
1382,ham,ok arm feeling weak cuz got shot go another time
1383,ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
1384,ham,storming msg wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person
1385,ham,thats ok popped ask bout something said youd around tonght wen girl comes
1386,ham,e best ur exam later
1387,ham,hope ur head doesnt hurt much ploughing way pile ironing staying chinky tonight come round like
1388,ham,oh k think wi nz players unsold
1389,ham,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
1390,ham,wonder got online love gone net cafe get phone recharged friends net think boytoy
1391,ham,haha kidding papa needs drugs
1392,ham,thk shld b ya wana go lessons haha go one whole stretch
1393,ham,oh ok
1394,ham,r still meeting dinner tonight
1395,ham,thats cool gentleman treat dignity respect
1396,ham,shall start hear
1397,ham,wait lor need feel bad lar
1398,ham,check got detailed message
1399,ham,registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone
1400,ham,decided people care stuff vote caring stuff losers
1401,ham,kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg
1402,ham,registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone
1403,ham,cool fun practicing making babies
1404,ham,actually getting ready leave house
1405,ham,k k special today
1406,spam,urgent important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting
1407,ham,gotta
1408,ham,ive got ten bucks jay noncomittal
1409,ham,hungry
1410,ham,pls speak customer machan
1411,ham,somewhere beneath pale moon light someone think dreams come true goodnite amp sweet dreams
1412,ham,wen ur lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1413,spam,dear uve invited xchat final attempt contact txt chat p msgrcvdhg suite lands row w j hl ldn yrs
1414,ham,wats ur opinion abt abt character
1415,ham,jay snickering tells x totally fucking chords speak
1416,ham,hours went hair cut
1417,ham,wonder cos dun rem seeing silver car thk saw black one
1418,ham,lmao take pic send
1419,ham,speak feel words better silence gud mrng
1420,ham,shes currently scotland
1421,ham,work week
1422,spam,congratulations ur awarded either cd gift vouchers free entry weekly draw txt music tncs www ldew com win ppmx age
1423,ham,lol great im getting hungry
1424,ham,yes saw message
1425,ham,ill mu like lt gt seconds
1426,ham,ok
1427,ham,thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worried x
1428,ham,tell make little spreadsheet track whose idea smoke determine smokes much entire month february
1429,spam,sale arsenal dartboard good condition doubles trebles
1430,ham,dont look back building coat dont want get sick hurry home wear coat gym
1431,ham,painful personal thought always try keep everybody happy time nobody recognises alone
1432,ham,thanks lovely wisheds rock
1433,ham,intrepid duo great time see soon
1434,ham,asked sen come chennai search job
1435,ham,dad went oredi
1436,ham,jus hope true missin cos im really missin havent done anything feel guilty yet
1437,ham,wat late still early mah juz go dinner lor aiya dunno
1438,ham,arms fine hows cardiff uni
1439,ham,fact leave think addie goes back school tues wed
1440,ham,cool breeze bright sun fresh flower twittering birds waiting wish goodmorning amp nice day
1441,ham,ya going restaurant
1442,ham,ok askd knw tht
1443,spam,free st week entry textpod chance win gb ipod cash every wk txt pod ts cs www textpod net custcare
1444,ham,ducking chinchillas
1445,ham,marriage function
1446,ham,looks like wil b getting headstart im leaving bout ish r desperate company could head earlier goin meet rummer
1447,ham,give flying monkeys wot think certainly mind friend mine
1448,spam,registered optin subscriber ur draw gift voucher entered receipt correct ans whats bbc charts
1449,ham,say thanks
1450,ham,msg rajini comes
1451,ham,ya taking ure practical lessons start june
1452,ham,thats good need drugs
1453,ham,stupid possible
1454,ham,decide faster cos sis going home liao
1455,spam,summers finally fancy chat flirt sexy singles yr area get matched reply summer free join optout txt stop help
1456,ham,sleeping going take haha got spys wat online checking n replying mails lor
1457,spam,claire havin borin time alone wanna cum nite chat hope c luv claire xx calls minmoremobsemspobox po wa
1458,ham,fighting world easy either win lose bt fightng close dificult lose lose win still lose
1459,spam,bought one ringtone getting texts costing pound offering tones etc
1460,ham,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae lyf nt yet ovr chikku ali vargu lyfu meow meow
1461,ham,kinda first one gets twelve aah speak tomo
1462,spam,urgent mobile xxxxxxxxx bonus caller prize nd attempt reach call asap
1463,ham,ok good later come find c lucky told go earlier later pple take finish
1464,ham,wat makes thk ill fall actually thk im quite prone falls lucky dad home ask come n fetch already
1465,spam,guaranteed latests nokia phone gb ipod mp player prize txt word collect tc llc ny usa p mt msgrcvd
1466,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
1467,ham,wont touch permission
1468,spam,hi lucy hubby meetins day fri b alone hotel fancy cumin pls leave msg day lucy x calls minmobsmorelkpobox hp fl
1469,ham,wonders world th th ur style th ur smile th ur personality rd ur nature nd ur sms st ur lovely friendship good morning dear
1470,ham,take small dose tablet fever
1471,ham,oh must taken real valentine shopping first
1472,ham,sent email address incomm right
1473,ham,gonna blakes night might able get little early
1474,ham,friendship game play word say start march ends may tomorrow yesterday today e
1475,ham,nice wait texting right im gonna pay ticket ya know
1476,ham,im watching lotr w sis dis aft wan meet dinner nite
1477,ham,keeping away like
1478,ham,think far find check google maps place dorm
1479,ham,trip ok quite tiring lor uni starts today ok cos im taking modules jus concentrating final yr project
1480,ham,always saying welp
1481,ham,im guy browsin compulsory
1482,ham,ok
1483,ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
1484,ham,sorry ill call later
1485,ham,add dont really care cant least get dude fuck hey money want
1486,ham,hello lover goes new job happy think wake slave send teasing kiss across sea
1487,ham,told number gautham
1488,ham,tell need investigate anywhere
1489,ham,ok juz receive
1490,ham,cant believe said many things morning really wanted say good morning love beautiful morning see library later
1491,spam,account credited free text messages activate txt word credit cs www biz
1492,ham,end might still vomit okay everything come
1493,ham,money money aint thing sha
1494,ham,everything weather keep extra warm cold nothing serious pls lots vitamin c
1495,ham,hey gals anyone going e driving centre tmr
1496,ham,im always yahoo messenger send message get may send mobile mode sha get reply
1497,ham,im putting ready lt time gt
1498,ham,time n smile r two crucial things life sometimes time makes us forget smile sometimes someones smile makes us forget time gud noon
1499,spam,sms ac jsco energy high may know channel day ur leadership skills r strong psychic reply ans w question end reply end jsco
1500,ham,host based idps linux systems
1501,spam,hot live fantasies call p per min ntt ltd po box croydon cr wb national rate call
1502,ham,da whats plan
1503,ham,ill lt gt ok
1504,ham,oh god im almost home
1505,ham,total video converter free download type google search
1506,spam,thanks vote sing along stars karaoke mobile free link reply sing
1507,ham,wen ur lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1508,ham,sounds like something someone testing would sayy
1509,ham,love someone dont make love much love much dont want loved anyone except gud nit
1510,ham,pete phone still jenny college leanne
1511,ham,oops sorry check dont mind picking tomo half eight station would ok
1512,ham,hey sweet wondering moment might come want send file someone wont go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss
1513,ham,hows champ leaving glasgow
1514,ham,k best congrats
1515,ham,wonder youll get text
1516,ham,need come home give good lovin
1517,spam,brand new mobile music service live free music player arrive shortly install phone browse content top artists
1518,ham,shall ask one thing dont mistake
1519,ham,check wid corect speling e sarcasm
1520,spam,urgent mobile awarded bonus caller prize nd attempt contact call box qu bt national rate
1521,ham,angry happen dear
1522,ham,thk dun haf hint e forum already lor cos told ron n darren going tell shuhui
1523,ham,yup ok thanx
1524,ham,hi cts employee
1525,ham,pls pls find aunt nike
1526,ham,wow love sooo much know barely stand wonder day goes well love think miss
1527,ham,screaming means shouting
1528,ham,hey happen de alright
1529,ham,picked receipt something earlier
1530,ham,think chennai well settled
1531,ham,oh dang didnt mean send lol
1532,ham,unfortunately ive found pick sister airport evening dont think ill going try go one th
1533,ham,horrible bf v hungry
1534,ham,remember day
1535,spam,nokia get win free auction take part send nokia hg suite lands row w jhl
1536,ham,hows feel mr real valentine yo valentine even tho hardly play
1537,ham,sounds good fingers makes difficult type
1538,ham,midnight earliest
1539,ham,youre sure im trying make xavier smoke dont want smoke told smoke much
1540,ham,k come nordstrom youre done
1541,ham,konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dreams
1542,ham,press conference da
1543,spam,hello orange months free access games news sport plus free texts photo messages reply yes terms apply www orange co uk ow
1544,ham,completed degree use joining finance
1545,ham,good afternoon love job prospects missing lazy bleak hmmm happy filled love
1546,ham,shant disturb anymore jia
1547,ham,bishan lar nearer need buy early cos buy gotta park car
1548,ham,dont know oh
1549,ham,dude sux snake got old raiden got buff
1550,ham,says hi get ass back south tampa preferably kegger
1551,ham,e msg jus said thanks gift
1552,ham,
1553,ham,ok dear call chechi
1554,ham,yeah totes wanna
1555,ham,ok found dis pierre cardin one looks normal costs sale
1556,ham,good sleep rhythm person establish rhythm body learn use want know
1557,ham,wat r
1558,ham,message truro hospital ext phone phone side
1559,ham,single line big meaning miss anything ur best life
1560,ham,got gas money chance gang want go grand nature adventure
1561,ham,dnt worry use ice pieces cloth pack also take tablets
1562,ham,dude saw parked car sunroof popped sux
1563,ham,get ready put excellent sub face
1564,ham,tmrw im finishing doors
1565,ham,lt gt g saw days ago guy wants sell wifi lt gt g lt gt thats blanked
1566,ham,late
1567,ham,whatever im pretty pissed
1568,ham,today accept day accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
1569,ham,dont much image class
1570,ham,got rumour going buy apartment chennai
1571,ham,near kalainar tv office thenampet
1572,spam,ur cash balance currently pounds maximize ur cash send go p msg cc hg suite lands row w j hl
1573,spam,sms auction brand new nokia auction today auction free join take part txt nokia hg suite lands row w j hl
1574,ham,sis catching e show e afternoon im watching w c wan watch today tmr lor
1575,ham,sounds gd haha wah yan jiu fast liao
1576,ham,nosy guess idk reacting im freaked
1577,ham,remember hurt days satanic imposter need pay price may destiny keep going said pray get mind get
1578,ham,make girl happy difficult make girls happy need friend companion lover chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam
1579,ham,princess bet brothas chasing
1580,ham,shall book chez jules half eight thats ok
1581,ham,hhahhaahahah rofl wtf nig leonardo room something
1582,ham,yep dereks house see sunday lt
1583,ham,cool let know kicks around lt gt ill day
1584,ham,sorry ill call later
1585,ham,wondering would okay call uncle john let know things nigeria r lt gt dollars years sent know strain plan pay back every dime gives every dime expect anything practical something like
1586,ham,charges transfer charges withdraw anyhow like
1587,ham,dont search love let love find thats called falling love bcoz dont force fall know smeone hold bslvyl
1588,ham,lets go bill millers
1589,ham,love set soul fire spark flame big rawring flame xoxo
1590,ham,somewhr someone surely made god decided perfect time make meet dat person till den enjoy ur crushes
1591,ham,thats honeymoon outfit
1592,ham,help propose going back tomorrow
1593,spam,private account statement shows un redeemed points call identifier code expires
1594,ham,never blame day ur life good days give happiness bad days give experience essential life gods blessings good morning
1595,ham,pls confirm time collect cheque
1596,spam,registered subscriber yr draw gift voucher b entered receipt correct ans next olympics txt ans
1597,spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm
1598,ham,daddy take good care
1599,ham,yeah probably still gotta check leo
1600,ham,k special
1601,ham,carlos taking sweet time usual let know patty done want smoke ill tell haul ass
1602,ham,ok pa nothing problem
1603,ham,heard job im going wildlife talk tonight want come worzels wizzle whatever
1604,ham,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaid friend
1605,ham,came hostel
1606,ham,ok prob ill come lunch
1607,ham,jus telling dat ill b leaving shanghai st instead well haf time meet cya
1608,ham,freezing home yet remember kiss mom morning love think missing yet
1609,ham,ready big day tomorrow
1610,ham,ill probably around mu lot
1611,ham,
1612,spam,rt king pro video club need help info ringtoneking co uk call must club credits redeemable www ringtoneking co uk enjoy
1613,ham,thnx dude guys nite
1614,ham,sef dey laugh meanwhile hows darling anjie
1615,ham,mm food da
1616,ham,k makes sense btw carlos difficult guys gonna smoke go pick second batch get gas
1617,ham,download fring app
1618,ham,oz guy kinda flaky one friend interested picking lt gt worth tonight possible
1619,ham,friends stay fb chat
1620,ham,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
1621,ham,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte
1622,spam,secret admirer looking make contact find r reveal thinks ur special call
1623,ham,ah well confuses things
1624,spam,free text msgs text ok well credit account
1625,ham,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
1626,ham,dear ok
1627,spam,selected stay top british hotels nothing holiday worth claim call london bx sw ss
1628,ham,yes princess want make happy
1629,ham,sounds like many talents would like go dinner date next week
1630,ham,going film day da pm sorry da
1631,ham,watching movie already xy wants shop im shopping w
1632,ham,hello little party animal thought id buzz friends grins reminding loved send naughty adoring kiss
1633,ham,yesterday going home
1634,spam,eerie nokia tones rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight www getzed co uk pobox w wq p
1635,ham,come life brought sun shiny warming heart putting constant smile face making feel loved cared
1636,ham,shit wasnt surprised went spent evening french guy met town fooled around bit didnt let fuck
1637,spam,networks allow companies bill sms responsible suppliers
1638,ham,great comedy cant stop laughing da
1639,spam,freemsg feelin kinda lnly hope like keep company jst got cam moby wanna c pic txt reply date msg p rcv hlp stop
1640,ham,alright set text man
1641,ham,hi theyre keen go kind feel shouldnt go tomo dont mind
1642,ham,sleeping nt feeling well
1643,ham,switch fone dammit
1644,ham,india take lead
1645,ham,post l r class
1646,ham,thts wat wright brother fly
1647,ham,evening v good somewhat event laden fill dont worry head ok throat wrecked see six
1648,ham,laugh really loud talk spontaneously dont care others feel probably dear amp best friends goodevening dear
1649,ham,laptop take
1650,ham,dont file bag work called tell find anything room
1651,ham,wan early lei outside wun b home early neva mind
1652,spam,ur chance win cash every wk txt action ts cs www movietrivia tv custcare x p wk
1653,ham,bugis juz wat im walking home oredi late reply oso saw top dat like din buy r
1654,ham,wishing family merry x mas happy new year advance
1655,ham,go ok na
1656,ham,yes posted couple pics fb theres still snow outside im waking
1657,ham,one good partnership going take lead
1658,spam,rgent nd attempt contact call b csbcm wc n xx callcost ppm mobilesvary max
1659,ham,yeah wheres class
1660,ham,send bec temple na
1661,ham,arent coming home class right need work shower
1662,spam,hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx calls minmobsmorelkpobox hp fl
1663,ham,mostly like
1664,ham,v fan
1665,ham,dunno cos v late n reach inside already ate spageddies lor e gals r laughing lor
1666,ham,guess spent last night phasing fourth dimension
1667,ham,dad gonna call gets work ask crazy questions
1668,ham,yes said
1669,ham,hurting n meaningful lines ever compromised everything love
1670,ham,lmao nice
1671,ham,glad see reply
1672,spam,urgent trying contact todays draw shows prize guaranteed call land line claim valid hrs
1673,spam,monthly password wap mobsi com use wap phone pc
1674,ham,nah dub je still buff
1675,ham,painful words thought happy toughest thing earth
1676,ham,yeah thats fine get ok
1677,ham,lol come ideas
1678,ham,many people seems special first sight remain special till last sight maintain till life ends sh jas
1679,ham,today song dedicated day song dedicate send ur valuable frnds first rply
1680,ham,okay wait ah
1681,ham,lei
1682,ham,hi babe r likely bed im sorry tonight really wanna see tomorrow call love xxx
1683,ham,already squatting new way walking
1684,ham,want bold bb torch
1685,ham,cramps stopped going back sleep
1686,spam,todays vodafone numbers ending last four digits selected received award number matches please call claim award
1687,spam,free top ringtone sub weekly ringtone get st week free send subpoly per week stop sms
1688,ham,nan sonathaya soladha boss
1689,ham,bring tat cd forget
1690,spam,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr sp tyrone
1691,ham,dont know im raping dudes poker
1692,ham,weightloss girl friends make loads money ebay something give thanks god
1693,ham,gr see message r leaving congrats dear school wat r ur plans
1694,ham,eatin later im eatin wif frens lei going home first
1695,ham,finish already yar keep saying mushy embarrassed ok
1696,ham,sorry man stash ran dry last night cant pick sunday
1697,ham,hai priya right doctor said pa
1698,spam,free msg sorry service ordered could delivered sufficient credit please top receive service
1699,ham,ok
1700,ham,please ask mummy call father
1701,ham,come room cannot come house cos house still messy haha
1702,ham,lost kilos today
1703,ham,taste fish curry p
1704,ham,might accidant tookplace somewhere ghodbandar rd traffic moves slovely plz slip amp dont worry
1705,ham,yun ah wkg btw go nus sc wana specialise wad
1706,ham,yes one woman man please tell likes dislikes bed
1707,ham,test earlier appreciate call tomorrow
1708,ham,hows loverboy keeps coming queen hmmm doesnt ache speak miss desparately
1709,ham,meet fren dun wan meet ah muz b guy rite
1710,ham,promises though havent even gotten dinner yet
1711,ham,got back dislikes bed
1712,ham,turns stereo love mi phone unknown album
1713,spam,hard live chat p min choose girl connect live call cheap chat uks biggest live service vu bcm wc n xx
1714,ham,yeah dont see
1715,ham,asking knw nt may ur frnds classmates
1716,ham,sorry earlier putting fires around talk actually life lol
1717,spam,wow boys r back take uk tour win vip tickets pre book vip club txt club trackmarque ltd info vipclub
1718,ham,missionary hook doggy hook standing
1719,ham,better go sleep dun disturb liao wake msg lor
1720,ham,fighting world easy either win lose bt fightng close dificult lose lose win still lose
1721,ham,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick
1722,ham,thought praps meant another one goodo ill look tomorrow
1723,ham,hi jon pete ive bin spain recently hav sum dinero left bill said ur rents mayb interested hav pes around tb james
1724,ham,bold lt gt
1725,ham,know shall speak lt gt minutes
